x,y,z,V,Robot
-0.033101358,-0.2903256,-0.18158787,[0.9984335],Franka-Panda
0.61032116,-0.06783864,0.29692727,[0.40423197],Franka-Panda
0.21424747,-0.4986627,0.3403608,[0.08804452],Franka-Panda
0.42894465,-0.26351905,-0.2640299,[0.25076622],Franka-Panda
0.31221288,0.086412795,0.38926733,[0.34666815],Franka-Panda
-0.088838756,-0.329748,-0.17454809,[0.48507714],Franka-Panda
0.08745363,-0.019463941,0.30486637,[0.40142053],Franka-Panda
-0.09116316,-0.38872302,0.14475186,[0.07600944],Franka-Panda
-0.05680143,-0.18237974,0.22412413,[0.40956882],Franka-Panda
-0.05276253,0.008481812,0.8774432,[1.305753],Franka-Panda
0.40756583,0.14649972,0.20083001,[0.2712672],Franka-Panda
-0.227751,0.1592669,-0.4272914,[0.26712415],Franka-Panda
0.29949868,-0.21246466,-0.35875413,[0.21663427],Franka-Panda
0.20052034,0.1337663,0.6942565,[0.31640166],Franka-Panda
0.47692683,0.058096923,0.09741315,[0.11190507],Franka-Panda
0.10636079,-0.21214242,0.54963666,[0.22571135],Franka-Panda
0.16498078,0.10709486,0.35798472,[0.40070558],Franka-Panda
0.4921461,-0.11197497,0.8329537,[0.5920484],Franka-Panda
-0.44331408,0.49007162,0.6331469,[0.1862928],Franka-Panda
-0.4799382,0.32486185,0.44887793,[1.0445267],Franka-Panda
0.23044759,0.11104953,0.14051907,[0.28358236],Franka-Panda
-0.1357293,0.17272592,0.091960534,[0.33626968],Franka-Panda
0.008214492,0.039279588,0.3767184,[0.2779232],Franka-Panda
-0.7230697,0.12340658,0.58382165,[0.17159417],Franka-Panda
0.10131098,0.31139234,0.24018243,[0.33583856],Franka-Panda
0.0783962,0.11346292,0.6300105,[0.8107602],Franka-Panda
-0.052850835,0.370734,0.567491,[0.5941022],Franka-Panda
0.34393162,-0.05183875,0.56548727,[0.40969458],Franka-Panda
-0.3896504,0.04756047,0.35249177,[0.10632522],Franka-Panda
-0.053237032,0.37636366,-0.020404793,[0.40830097],Franka-Panda
-0.44099632,0.46119872,0.1297223,[0.0408866],Franka-Panda
0.42455,-0.1945194,0.5649747,[0.75184786],Franka-Panda
-0.0017951367,-0.11680308,-0.33185005,[0.17806368],Franka-Panda
-0.3205757,0.44065145,-0.18777467,[0.44789132],Franka-Panda
0.004186105,0.24488688,0.5405976,[0.29427198],Franka-Panda
0.06195782,-0.21874222,0.5848091,[0.6916662],Franka-Panda
-0.05727913,0.22287683,0.25982788,[0.33202636],Franka-Panda
0.54399306,-0.15085468,0.50366366,[0.21349135],Franka-Panda
-0.044253293,-0.07382482,0.15172596,[0.11355221],Franka-Panda
-0.30400106,-0.5428887,0.089245334,[1.1384937],Franka-Panda
0.2325645,0.21444304,0.7115835,[0.8060738],Franka-Panda
-0.30780765,-0.20594473,0.69544005,[0.5332771],Franka-Panda
-0.04750659,0.31912962,0.3358967,[0.6032494],Franka-Panda
-0.062194414,0.21119885,1.069239,[0.7275757],Franka-Panda
-0.17344218,-0.00096505135,0.51896274,[0.49644816],Franka-Panda
0.2048094,-0.07739486,0.34122595,[0.50256777],Franka-Panda
0.76088893,-0.24030747,0.049240373,[0.9489993],Franka-Panda
0.07174539,-0.044993326,0.18646991,[0.4013343],Franka-Panda
-0.37236065,0.5293505,0.2922259,[0.640316],Franka-Panda
-0.5261277,-0.05308883,0.026403993,[0.26508534],Franka-Panda
-0.29140344,0.19805273,-0.15709351,[0.5077233],Franka-Panda
0.08425122,0.714181,-0.01005365,[0.23061477],Franka-Panda
-0.2145018,-0.3191947,1.0133567,[0.24578847],Franka-Panda
-0.26348886,0.054609295,-0.3574446,[0.15051031],Franka-Panda
0.50759786,-0.18320596,0.45022464,[0.07310374],Franka-Panda
0.11416962,-0.65565896,0.3121037,[0.4435774],Franka-Panda
0.4407985,0.25183925,1.0136672,[0.5602658],Franka-Panda
0.26345438,-0.22675672,1.0188981,[0.5736],Franka-Panda
-0.4437653,0.35099998,0.50096416,[0.8372159],Franka-Panda
-0.044822752,-0.2437841,0.2155679,[0.13937443],Franka-Panda
0.13629247,-0.057276167,-0.38859037,[0.05324169],Franka-Panda
0.19545722,-0.44283164,0.63611394,[0.7712375],Franka-Panda
-0.10203249,0.10131192,0.38338307,[1.2259042],Franka-Panda
-0.1897763,0.049527742,0.012875818,[0.5436033],Franka-Panda
0.2979618,-0.43162704,0.4358776,[0.20631453],Franka-Panda
-0.3582173,-0.2751075,1.0356979,[0.5087234],Franka-Panda
-0.31318122,0.15263161,0.8270007,[0.41876936],Franka-Panda
0.3821358,0.6922782,0.05342357,[0.18762603],Franka-Panda
0.5115844,0.3864413,0.76791203,[0.66650856],Franka-Panda
-0.10762715,-0.3730489,0.8951733,[0.21143922],Franka-Panda
-0.28463668,-0.20989059,0.34921893,[0.7957495],Franka-Panda
0.020835333,-0.011143137,0.46693882,[0.6394386],Franka-Panda
-0.395805,0.4730022,0.4390899,[0.6435359],Franka-Panda
0.014818788,-0.07070396,0.0050346125,[0.15983333],Franka-Panda
-0.54336375,0.20999584,0.3401848,[0.4159153],Franka-Panda
-0.66269326,0.09609632,0.4585743,[0.62300444],Franka-Panda
0.065852486,-0.058228165,0.49698544,[0.75092435],Franka-Panda
0.38447836,0.35117525,0.04280626,[0.09126858],Franka-Panda
0.06419476,-0.45528075,0.13365573,[0.23216918],Franka-Panda
0.21168514,-0.16899593,-0.10613081,[0.3272178],Franka-Panda
-0.33679417,0.42269674,0.64738166,[0.420499],Franka-Panda
0.18241705,0.33929923,-0.2209891,[0.32670456],Franka-Panda
0.38859645,-0.2899912,0.061113358,[0.6177157],Franka-Panda
